,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,coquimbo,-29.95,-71.34,288.15,77,75,5.1,CL,1603143796
88,porto nacional,-10.71,-48.42,303.15,70,40,4.1,BR,1603143865
89,coari,-4.08,-63.14,301.11,71,71,0.63,BR,1603143866
90,bambous virieux,-20.34,57.76,295.51,73,20,4.1,MU,1603143866
91,sovetskaya gavan,48.97,140.29,272.84,83,0,2.79,RU,1603143866
92,azangaro,-14.92,-70.22,284.57,51,86,2.49,PE,1603143866
93,necochea,-38.55,-58.74,285.93,56,17,5.36,AR,1603143600
94,georgetown,5.41,100.34,299.98,88,20,1.0,MY,1603143867
95,souillac,-20.52,57.52,296.15,73,20,4.1,MU,1603143867
96,buraydah,26.33,43.98,291.15,36,0,2.1,SA,1603143867
97,bluff,-46.6,168.33,282.59,79,91,4.02,NZ,1603143867
98,washington,47.5,-120.5,290.61,36,20,3.6,US,1603143537
99,bilma,18.69,12.92,301.24,15,0,2.82,NE,1603143868
100,barrow,71.29,-156.79,267.15,85,90,4.1,US,1603143601
101,muros,42.78,-9.06,289.56,90,89,4.92,ES,1603143868
102,hobyo,5.35,48.53,299.92,77,4,7.27,SO,1603143868
103,norsup,-16.07,167.38,300.15,78,75,1.0,VU,1603143868
104,altay,47.87,88.12,272.95,75,85,0.62,CN,1603143869
105,boyolangu,-8.12,111.89,296.6,88,62,0.24,ID,1603143869
106,nemuro,43.32,145.57,284.91,70,11,7.06,JP,1603143620
107,verkhoyansk,67.54,133.38,261.21,90,100,1.52,RU,1603143870
108,mulatupo,8.95,-77.77,299.46,85,100,3.87,PA,1603143870
109,bubaque,11.28,-15.83,301.24,88,3,3.87,GW,1603143870
110,limbang,4.75,115.0,298.15,88,75,1.0,MY,1603143871
111,ketchikan,55.34,-131.65,279.98,100,90,3.1,US,1603143871
112,marquette,46.53,-87.63,275.92,46,100,1.34,US,1603143871
113,lorengau,-2.02,147.27,301.52,70,49,0.75,PG,1603143871
114,natal,-5.79,-35.21,299.15,78,40,4.1,BR,1603143871
115,hithadhoo,-0.6,73.08,301.27,77,100,5.44,MV,1603143872
116,narsaq,60.92,-46.05,274.15,81,94,1.31,GL,1603143872
117,bethel,41.37,-73.41,288.69,72,90,1.5,US,1603143872
118,mount gambier,-37.83,140.77,280.15,93,90,0.5,AU,1603143872
119,husavik,66.04,-17.34,274.15,86,75,0.89,IS,1603143873
120,ribeira grande,38.52,-28.7,291.02,70,59,14.69,PT,1603143873
121,bocas del toro,9.33,-82.25,293.15,83,100,4.03,PA,1603143873
122,flinders,-34.58,150.86,289.91,78,77,0.45,AU,1603143703
123,upernavik,72.79,-56.15,274.98,80,11,7.41,GL,1603143874
124,vila franca do campo,37.72,-25.43,287.15,87,40,4.6,PT,1603143874
125,acapulco,16.86,-99.89,304.15,70,40,3.6,MX,1603143874
126,torbay,47.67,-52.73,283.72,83,67,0.45,CA,1603143874
127,qaanaaq,77.48,-69.36,272.09,86,43,3.99,GL,1603143875
128,kara-tyube,44.63,45.44,289.05,84,84,6.3,RU,1603143875
129,port alfred,-33.59,26.89,291.33,83,56,8.89,ZA,1603143875
130,umm lajj,25.02,37.27,301.26,40,0,2.01,SA,1603143875
131,zhoucheng,35.91,116.31,287.04,1,100,2.55,CN,1603143876
132,ha tinh,18.33,105.9,291.41,94,100,6.21,VN,1603143876
133,yarada,17.65,83.27,299.15,100,75,1.0,IN,1603143876
134,puerto colombia,10.99,-74.95,304.15,70,75,3.1,CO,1603143615
135,port blair,11.67,92.75,300.35,83,38,5.93,IN,1603143877
136,kibala,9.11,18.35,299.15,88,46,0.93,TD,1603143877
137,kahului,20.89,-156.47,303.89,49,40,5.7,US,1603143747
138,iqaluit,63.75,-68.51,272.04,80,85,1.79,CA,1603143877
139,chokurdakh,70.63,147.92,264.02,97,93,3.06,RU,1603143878
140,lata,40.16,-8.33,290.76,93,100,0.45,PT,1603143878
141,verkhovazhye,60.75,42.05,272.68,98,96,2.41,RU,1603143878
142,urubamba,-13.3,-72.12,291.15,36,75,3.6,PE,1603143878
143,cabra,37.47,-4.44,295.37,32,87,3.56,ES,1603143878
144,vryburg,-26.96,24.73,291.49,26,0,0.66,ZA,1603143878
145,coolum beach,-26.53,153.1,294.0,74,90,0.89,AU,1603143879
146,comodoro rivadavia,-45.87,-67.5,288.15,26,20,7.2,AR,1603143879
147,pangnirtung,66.15,-65.71,274.15,74,90,3.1,CA,1603143879
148,dunda,-8.12,34.25,294.21,58,54,2.09,TZ,1603143879
149,ancud,-41.87,-73.82,284.15,43,0,4.1,CL,1603143880
150,quang ngai,15.12,108.8,297.73,90,100,1.66,VN,1603143683
151,petropavl,54.88,69.16,281.81,70,100,3.52,KZ,1603143880
152,puerto el triunfo,13.28,-88.55,304.63,66,20,2.6,SV,1603143880
153,boca do acre,-8.75,-67.4,299.26,75,98,0.84,BR,1603143880
154,touros,-5.2,-35.46,299.15,78,40,4.1,BR,1603143881
155,clyde river,70.47,-68.59,274.15,97,90,7.7,CA,1603143590
156,cairns,-16.92,145.77,295.54,88,32,0.5,AU,1603143737
157,zyryanovsk,49.74,84.27,272.16,87,77,0.51,KZ,1603143881
158,kaitangata,-46.28,169.85,284.49,51,77,6.02,NZ,1603143881
159,vuktyl,63.86,57.31,271.29,99,100,2.23,RU,1603143882
160,marawi,8.0,124.29,297.04,93,61,2.24,PH,1603143882
161,soloneshnoye,51.65,84.32,274.93,73,97,2.07,RU,1603143882
162,tiksi,71.69,128.87,263.45,93,100,10.26,RU,1603143882
163,saldanha,-33.01,17.94,287.15,71,100,1.5,ZA,1603143883
164,sorong,-0.88,131.25,299.12,82,100,3.41,ID,1603143883
165,nuuk,64.18,-51.72,280.15,72,100,21.1,GL,1603143699
166,hualmay,-11.1,-77.61,291.95,75,30,4.53,PE,1603143883
167,kloulklubed,7.04,134.26,298.15,94,75,3.8,PW,1603143883
168,mundo nuevo,18.7,-95.5,301.19,73,1,4.65,MX,1603143884
169,manjacaze,-24.71,33.88,294.91,55,0,5.03,MZ,1603143884
170,hamilton,39.18,-84.53,286.01,93,90,2.6,US,1603143603
171,saint-pierre,-21.34,55.48,292.69,68,20,1.5,RE,1603143884
172,coffs harbour,-30.3,153.13,291.16,77,40,4.6,AU,1603143884
173,kavieng,-2.57,150.8,301.69,69,70,0.87,PG,1603143885
174,smolenka,52.14,113.5,274.15,74,98,4.0,RU,1603143885
175,limon,10.0,-83.03,303.15,74,100,5.1,CR,1603143885
176,harper,4.38,-7.72,298.33,84,62,3.11,LR,1603143885
177,new norfolk,-42.78,147.06,282.48,78,56,1.79,AU,1603143885
178,sydney mines,46.24,-60.22,286.39,100,90,4.1,CA,1603143886
179,petatlan,17.52,-101.27,306.15,59,75,5.1,MX,1603143886
180,luderitz,-26.65,15.16,288.2,72,0,10.62,NA,1603143886
181,marsabit,2.33,37.99,296.46,48,28,6.18,KE,1603143886
182,praya,14.92,-23.51,301.15,69,93,5.1,CV,1603143858
183,cockburn town,21.46,-71.14,302.15,62,40,4.1,TC,1603143887
184,douglas,41.3,-96.17,280.29,55,90,2.6,US,1603143887
185,abu samrah,35.3,37.18,292.06,53,32,2.62,SY,1603143887
186,urumqi,43.8,87.6,280.15,52,5,1.0,CN,1603143608
187,ulladulla,-35.35,150.47,287.59,77,75,3.6,AU,1603143887
188,novaya igirma,57.13,103.91,269.51,94,99,4.32,RU,1603143888
189,tshikapa,-6.42,20.8,295.4,91,87,1.04,CD,1603143888
190,wenling,28.37,121.36,288.71,94,92,5.78,CN,1603143888
191,hervey bay,-25.3,152.85,295.15,73,75,5.7,AU,1603143647
192,cullman,34.17,-86.84,298.68,57,75,2.1,US,1603143889
193,sambava,-14.27,50.17,296.87,74,84,5.73,MG,1603143889
194,namatanai,-3.67,152.43,301.58,71,7,1.28,PG,1603143889
195,karlstad,59.38,13.5,273.15,67,100,0.5,SE,1603143889
196,geraldton,-28.77,114.6,292.15,72,90,4.6,AU,1603143889
197,alofi,-19.06,-169.92,299.15,69,75,6.7,NU,1603143890
198,cayenne,4.93,-52.33,302.15,74,41,3.1,GF,1603143890
199,fukue,32.69,128.84,293.09,61,0,7.63,JP,1603143890
200,pierre,44.37,-100.35,278.18,56,40,5.7,US,1603143753
201,auki,-8.77,160.7,302.05,71,9,1.27,SB,1603143890
202,kumano,34.34,132.59,285.88,66,20,4.1,JP,1603143891
203,balakhninskiy,58.01,114.28,268.34,95,100,1.75,RU,1603143891
204,alugan,12.22,125.48,298.31,88,100,2.81,PH,1603143891
205,puerto escondido,15.85,-97.07,303.15,66,40,2.6,MX,1603143891
206,vestmannaeyjar,63.44,-20.27,278.14,76,100,3.05,IS,1603143891
207,chapais,49.78,-74.85,274.15,80,90,3.1,CA,1603143892
208,wattegama,6.8,81.48,296.95,79,78,2.22,LK,1603143892
209,chocope,-7.79,-79.22,293.41,67,50,4.45,PE,1603143892
210,yar-sale,66.83,70.83,264.99,96,0,1.22,RU,1603143892
211,dingle,11.0,122.67,298.16,88,100,1.31,PH,1603143892
212,mozarlandia,-14.74,-50.57,297.47,78,91,4.56,BR,1603143893
213,christchurch,-43.53,172.63,287.67,67,41,5.7,NZ,1603143893
214,yaan,7.38,8.57,297.07,93,45,2.03,NG,1603143893
215,ukiah,39.15,-123.21,304.89,17,1,3.14,US,1603143893
216,oistins,13.07,-59.53,302.15,74,20,3.6,BB,1603143893
217,pochutla,15.74,-96.47,304.76,66,20,3.1,MX,1603143894
218,shirokiy,49.76,129.52,272.26,92,0,3.88,RU,1603143894
219,college,64.86,-147.8,266.1,85,90,1.5,US,1603143894
220,bengkulu,-3.8,102.27,297.74,84,100,2.07,ID,1603143894
221,najran,17.49,44.13,292.15,22,0,1.0,SA,1603143894
222,leh,34.17,77.58,274.84,53,0,3.47,IN,1603143895
223,port lincoln,-34.73,135.87,287.23,83,100,5.77,AU,1603143895
224,saint-francois,46.42,3.91,286.15,71,80,4.1,FR,1603143895
225,saint-joseph,-21.37,55.62,293.93,68,20,1.5,RE,1603143895
226,siatista,40.26,21.54,285.93,57,22,0.23,GR,1603143895
227,praia da vitoria,38.73,-27.07,289.3,72,40,14.35,PT,1603143896
228,mitzic,0.78,11.55,294.26,98,100,1.4,GA,1603143896
229,seguela,7.96,-6.67,295.43,94,13,0.39,CI,1603143896
230,victoria,22.29,114.16,293.61,74,14,2.68,HK,1603143874
231,kijang,35.24,129.21,284.15,81,0,2.1,KR,1603143896
232,myrtle beach,33.69,-78.89,297.73,69,1,3.1,US,1603143896
233,klaksvik,62.23,-6.59,277.15,86,17,2.6,FO,1603143897
234,boende,-0.22,20.87,295.55,96,100,0.78,CD,1603143897
235,port hardy,50.7,-127.42,284.42,80,97,6.06,CA,1603143897
236,horana,6.72,80.06,300.15,88,40,3.1,LK,1603143897
237,mahebourg,-20.41,57.7,296.15,73,20,4.1,MU,1603143897
238,constitucion,-35.33,-72.42,287.5,62,3,7.69,CL,1603143898
239,maceio,-9.67,-35.74,297.15,83,39,4.6,BR,1603143893
240,megion,61.03,76.11,273.15,99,90,2.0,RU,1603143898
241,palmer,42.16,-72.33,288.38,59,75,2.1,US,1603143899
242,elk city,35.41,-99.4,287.77,47,1,2.1,US,1603143899
243,rwamagana,-1.95,30.43,289.98,100,75,2.1,RW,1603143899
244,vatutine,49.02,31.06,278.87,86,7,3.02,UA,1603143899
245,fonte boa,-2.5,-66.27,299.86,84,95,1.64,BR,1603143900
246,san jeronimo,-11.95,-75.28,290.09,39,9,4.09,PE,1603143900
247,san felipe,10.34,-68.74,299.24,79,24,0.98,VE,1603143900
248,qasigiannguit,68.82,-51.19,278.15,56,100,7.2,GL,1603143900
249,labuan,5.28,115.24,296.15,100,20,2.53,MY,1603143794
250,ilulissat,69.22,-51.1,278.15,56,100,7.2,GL,1603143901
251,port elizabeth,-33.92,25.57,289.15,87,98,7.2,ZA,1603143901
252,lyskovo,56.03,45.04,275.38,92,26,2.98,RU,1603143901
253,hami,42.8,93.45,280.13,53,4,2.19,CN,1603143901
254,sitka,57.05,-135.33,280.15,75,75,1.5,US,1603143902
255,novikovo,51.15,37.89,277.32,73,9,3.53,RU,1603143902
256,mezen,65.85,44.24,270.81,98,100,4.03,RU,1603143902
257,atkarsk,51.87,45.01,278.98,74,100,3.23,RU,1603143903
258,mecca,21.43,39.83,299.19,18,0,2.83,SA,1603143868
259,oksfjord,70.24,22.35,271.65,92,95,2.6,NO,1603143904
260,xining,36.62,101.77,274.2,79,21,0.16,CN,1603143904
261,morgan city,29.7,-91.21,301.32,62,20,1.5,US,1603143904
262,korgen,66.08,13.82,270.26,92,75,0.5,NO,1603143905
263,copiapo,-27.37,-70.33,288.15,72,40,7.2,CL,1603143905
264,yantal,56.85,105.25,269.17,93,99,4.49,RU,1603143905
265,greenville,35.61,-77.37,296.7,64,1,2.6,US,1603143638
266,kissidougou,9.18,-10.1,295.03,89,100,0.92,GN,1603143905
267,itoman,26.12,127.67,298.23,78,20,5.1,JP,1603143906
268,nizwa,22.93,57.53,294.6,24,15,0.99,OM,1603143906
269,nabire,-3.37,135.48,298.62,81,100,1.06,ID,1603143906
270,lagoa,39.05,-27.98,290.87,70,37,15.09,PT,1603143906
271,zheleznodorozhnyy,55.75,38.0,275.55,74,40,5.0,RU,1603143907
272,faya,18.39,42.45,288.65,19,0,3.1,SA,1603143907
273,yuci,37.68,112.73,276.15,86,64,1.0,CN,1603143907
274,kailua,21.4,-157.74,299.71,83,75,1.5,US,1603143722
275,baykit,61.67,96.37,268.54,92,100,4.48,RU,1603143907
276,puerto carreno,6.19,-67.49,301.87,78,84,1.44,CO,1603143908
277,kashi,39.45,75.98,284.15,32,0,5.0,CN,1603143908
278,airai,-8.93,125.41,290.07,57,5,0.99,TL,1603143909
279,gallup,35.53,-108.74,298.49,9,1,5.1,US,1603143749
280,waipawa,-41.41,175.52,288.23,77,23,8.2,NZ,1603143909
281,shimoda,34.67,138.95,289.33,72,100,5.29,JP,1603143909
282,manono,-7.3,27.42,294.9,84,67,0.49,CD,1603143909
283,barra patuca,15.8,-84.28,301.26,78,98,6.14,HN,1603143910
284,nhulunbuy,-12.23,136.77,296.15,83,10,2.03,AU,1603143910
285,bilibino,68.05,166.44,262.47,92,27,1.4,RU,1603143910
286,tazovskiy,67.47,78.7,264.67,97,25,3.16,RU,1603143910
287,nivala,63.92,24.97,270.93,92,100,1.79,FI,1603143910
288,amahai,-3.33,128.92,300.37,93,87,1.42,ID,1603143911
289,ballina,-28.87,153.57,292.8,77,90,4.6,AU,1603143911
290,inuvik,68.35,-133.72,268.15,85,90,3.6,CA,1603143666
291,matamoros,25.53,-103.25,306.15,16,5,4.6,MX,1603143846
292,sharkan,57.3,53.87,274.82,88,100,2.61,RU,1603143911
293,nanortalik,60.14,-45.24,275.79,89,97,1.07,GL,1603143912
294,san patricio,28.02,-97.52,304.37,59,40,8.2,US,1603143912
295,santa isabel do rio negro,-0.41,-65.02,299.24,83,93,1.16,BR,1603143912
296,erenhot,43.65,111.98,282.45,44,98,9.81,CN,1603143913
297,bongandanga,1.5,21.05,294.99,99,98,1.01,CD,1603143913
298,san rafael,-34.62,-68.33,296.13,20,0,5.36,AR,1603143913
299,wajima,37.4,136.9,290.47,56,5,2.45,JP,1603143913
300,komsomolskiy,40.43,71.72,283.15,39,0,3.1,UZ,1603143913
301,ranong,9.97,98.63,298.33,82,53,1.04,TH,1603143914
302,alexandria,31.22,29.96,299.15,65,97,5.1,EG,1603143766
303,colac,-38.33,143.58,281.31,89,1,0.48,AU,1603143914
304,tocopilla,-22.09,-70.2,291.7,56,17,4.03,CL,1603143914
305,bud,39.45,-86.18,283.17,100,90,2.6,US,1603143915
306,denpasar,-8.65,115.22,299.15,94,40,2.6,ID,1603143915
307,bandipur,27.93,84.42,288.86,96,0,1.22,NP,1603143915
308,faanui,-16.48,-151.75,299.31,81,1,8.24,PF,1603143915
309,olafsvik,64.89,-23.71,277.18,73,86,4.27,IS,1603143915
310,ossora,59.24,163.07,276.52,83,100,0.82,RU,1603143916
311,zharkent,44.16,80.0,284.58,38,0,2.49,KZ,1603143916
312,sao filipe,14.9,-24.5,301.49,65,36,2.72,CV,1603143917
313,baley,51.6,116.63,272.35,95,93,1.01,RU,1603143917
314,tateyama,34.98,139.87,287.09,76,100,8.7,JP,1603143917
315,nianzishan,47.52,122.88,276.95,73,63,1.23,CN,1603143918
316,matagami,49.75,-77.63,274.75,86,97,2.2,CA,1603143918
